"id","Brand_Name","Hex_Code","L","a","b","C","h","Material_Source","Extraction_Note","v_flag","SEO_Keywords","SEO_Description","Sequence","Hero50","Tropical_Adaptation_Note","Vision_Model_Anchor","Tropical_Red_Team_Warning"
"1036","Abingdon Aubergine","#3C1E38","16.4","19.17","-10.66","21.94","330.9","","","archive","Abingdon Aubergine — Guild Hall Dark, #3C1E38, near-black warm plum paint, plum paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Abingdon Aubergine — Guild Hall Dark — near-black warm plum #3C1E38. Thames riverbed silt at Radcot, the first crossing above Oxford. Iron-rich grave. Digby ...","12","TRUE","Specify high-flexibility elastomeric binder and reserve for shaded north-facing or interior surfaces; at L*=16.4 on sun-facing Antiguan masonry the surface will exceed ambient by 17–20°C, and the violet-dark register references a guild-hall dyeing tradition that has no exterior Caribbean deployment precedent without specialist thermal management.","Guild Hall dye cellar, Abingdon, its aubergine vat stain translated to a coral-stone estate storeroom wall in Antigua: the compressed violet-dark reads as dried fruit skin in perpetual shade — the violet axis briefly legible when a shaft of zenith light through a high grille strikes the render at an oblique angle.","DO NOT apply to sun-facing exterior masonry in the Caribbean; at L*=16.4 the thermal gain is extreme, binder failure on coral stone occurs within one dry season, and the violet-dark register provides no decorative signal in exterior tropical irradiation without carefully managed chromatic adjacencies."
"1101","Sparsholt Sloe","#4C4060","29.5","12.57","-17.03","21.16","306.4","Sloe berry pressed and oxidised at Sparsholt. The specific blue-red-black of November hedgerow fruit.","Sloe berry pressed and oxidised at Sparsholt. The specific blue-red-black of November hedgerow fruit.","NEW_v38","Sparsholt Sloe — Berry Dark, #681840, very dark rich crimson paint, crimson paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Sparsholt Sloe — Berry Dark — very dark rich crimson #681840. Sloe berry pressed and oxidised at Sparsholt. The specific blue-red-bl. Digby Oldridge.","13","TRUE","Specify elastomeric binder and limit to shaded or north-facing surfaces; at L*=29.5 surface temperatures on sun-facing Antiguan coral stone will exceed ambient by 15–17°C, and the blue-purple axis at h°=306 requires UV-stable binder encapsulation to prevent photoreduction toward a desaturated grey register under sustained tropical UV-A bombardment.","Sloe-hedgerow corymb compressed to a painted coral-stone garden wall in St. Joseph Parish: the blue-purple dark reads in diffuse north light as the colour of blackthorn fruit at the moment of ripeness — the botanical violet register distinct from both black and navy, legible only where the wall turns away from the zenith beam.","DO NOT deploy on south-facing exterior masonry in the Caribbean without elastomeric binder and UV-absorbing topcoat; at L*=29.5 thermal loading is significant, and the blue-purple axis is susceptible to photochemical reduction toward a cooler near-neutral grey under sustained equatorial UV irradiation."
"1048","Sparsholt Sloe Ink","#4A2858","22.6","25.27","-22.68","33.96","318.1","","","archive","Sparsholt Sloe Ink — Blackthorn Dark, #4A2858, dark warm violet paint, violet paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Sparsholt Sloe Ink — Blackthorn Dark — dark warm violet #4A2858. Sloe berries crushed in November, left in cider vinegar for a month. The colour . Digby Oldr...","14","TRUE","At L*=22.6 in direct equatorial irradiation this hue accumulates heat at near-maximum efficiency on sun-facing coral stone, and the violet-magenta axis at C*=34 requires UV-stable HALS-dosed binder encapsulation to prevent photoreduction toward a flat grey-purple under sustained tropical UV-A bombardment.","Blackthorn-ink scriptorium interior, re-imagined as a coral-stone storeroom in St. John Parish: the compressed violet-dark reads as ink absorbed into raw plaster over centuries of document storage — the magenta undertone apparent only in the narrow zone where north light meets the painted surface and separates it from absolute shadow.","DO NOT apply to exterior sun-facing masonry in Antigua or Barbados without specialist elastomeric binder; at L*=22.6 the surface accumulates irradiation at near-maximum efficiency, and salt-air ingress through thermally-induced micro-cracks will drive substrate spalling within twenty-four months."
"1013","Bampton Manganese Violet","#7840A0","38.2","42.03","-42.75","59.95","314.5","Manganese violet (manganese ammonium pyrophosphate) — first synthetic violet, 1868. Bampton's medieval textile guild records document purple mordant dyeing using local mineral deposits.","Mn(NH4)(P2O7). First produced 1868 (Leykauf, Nuremberg). The first stable synthetic violet — before this, purple required Tyrian purple or mixed recipes. Bampton's textile heritage provides the forensic root.","NEW_EXTRACTION","Bampton Manganese Violet — Archive Trace, #7840A0, dark vivid plum paint, plum paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Bampton Manganese Violet — Archive Trace — dark vivid plum #7840A0. Mn(NH4)(P2O7). First produced 1868 (Leykauf, Nuremberg). The first sta. Digby Oldridge.","15","TRUE","Verify pigment concentration is in the high-loading range before any exterior deployment and specify a UV-filtering topcoat; the 1868 synthetic origin of manganese violet gives it significantly better UV resistance than contemporary organic lake violets, but dilute tints show accelerated pyrophosphate photoreduction in sustained equatorial UV-A irradiation.","Bampton mineral works, 1868, its first synthetic violet compressed to a coral-stone courtyard wall in Antigua: the manganese violet reads as a manufactured revelation — briefly luminant in the courtyard shaft of zenith light before deep shadow reclaims it to a near-carbon depth.","DO NOT apply Bampton Manganese Violet to south-facing exterior masonry in the Caribbean without UV-filtering topcoat and high-concentration pigment loading; dilute formulations show accelerated pyrophosphate photoreduction in sustained equatorial UV-A irradiation, degrading the violet register to a blue-grey neutral within eighteen months."
"442","1086 Weld Madder","#8A7090","50.7","16.27","-13.58","21.19","320.2","","","archive","1086 Weld Madder — Archive Trace, #8A7090, deep soft plum paint, plum paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","1086 Weld Madder — Archive Trace — deep soft plum #8A7090. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","16","TRUE","Specify UV-stable binder with HALS additive to protect any madder lake or weld-yellow component; at L*=50.7 the hue sits in the optimal mid-lightness exterior zone for Caribbean deployment, but both anthraquinone madder and flavonoid weld are organic chromophores that will bleach under sustained tropical irradiation if unencapsulated.","Weld-and-madder over-dye on undyed linen, compressed to a painted coral-stone workshop wall in St. George Parish: the dusky mauve-stone reads in diffuse north light as botanical residue — the lavender axis visible where the light falls obliquely, suppressed to a warm grey in full tropical noon.","DO NOT specify this hue on exterior Caribbean masonry without confirming that any organic lake component is replaced with a UV-stable synthetic surrogate; photooxidation in sustained tropical irradiation will bleach the mauve register toward a pale desaturated pink-grey within eighteen months."
"554","Abingdon Glaze","#3C5C5A","36.7","-12.16","-2.59","12.44","192.0","","","archive","Abingdon Glaze — Archive Trace, #3C5C5A, dark soft teal paint, teal paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Abingdon Glaze — Archive Trace — dark soft teal #3C5C5A. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","17","TRUE","At L*=36.7 and C*=12.4 the dark teal register sits below the photometric threshold at which chromatic identity is reliably detectable in full Caribbean exterior irradiation; in direct zenith sun the hue reads as a dark neutral grey, and the teal axis is only recoverable in shaded or north-facing contexts.","Medieval kiln-glaze residue on a Berkshire brick arch, translated to a coral-stone cistern wall in Falmouth Harbour: the teal-dark reads at noon as compressed grey, the green barely separating from the neutral in direct irradiation — the glaze register legible only in the raking morning beam that grazes the render surface at a near-horizontal angle.","DO NOT specify copper-based glaze formulations on exterior Caribbean masonry in coastal environments; marine atmospheric sulfur drives copper sulfide formation, shifting the teal register toward a contaminated olive-brown within twelve to eighteen months of sustained coastal exposure."
"1026","Chrysocolla Corallian Blue","#027F7E","47.9","-28.9","-7.86","29.95","195.2","","","archive","Chrysocolla Corallian Blue — Archive Trace, #027F7E, deep warm teal paint, teal paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","Chrysocolla Corallian Blue — Archive Trace — deep warm teal #027F7E. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","18","TRUE","Specify a UV-stable phthalo blue-green or chromium oxide surrogate rather than authentic chrysocolla for exterior Caribbean deployment; the geological origin of the pigment offers compelling brand provenance but copper silicate compounds are reactive with chloride species in marine atmospheres, making a mineral-stable surrogate the correct specification.","Chrysocolla mineral seam exposed in a Corallian limestone cutting, translated to a painted coral-stone retaining wall at an Antiguan waterfront: the teal reads as geology rather than decoration — the blue-green held at mid-depth against the bleached limestone coping above as though the masonry itself were mineral-stained.","DO NOT use historically-authentic chrysocolla pigment on exterior Caribbean masonry in chloride-rich marine atmospheres; copper silicate reactivity with salt-air species can cause progressive surface discolouration, and a UV-stable phthalo blue-green surrogate is the correct specification for any exterior tropical deployment."
"1023","English Verditer Silver Works","#319097","54.9","-24.86","-11.82","27.53","205.4","","","archive","English Verditer Silver Works — Archive Trace, #319097, mid warm teal paint, teal paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, luxury paint colour, Britain in colour","English Verditer Silver Works — Archive Trace — mid warm teal #319097. From the Digby Oldridge Archive, Britain in colour before it was sanitised.","19","TRUE","Specify chromium oxide or phthalo green as the stable mineral surrogate for any copper carbonate verditer component; at L*=54.9 this hue is in the viable exterior Caribbean deployment zone, but authentic verditer (basic copper carbonate) is vulnerable to further oxidation in the sulfur-rich coastal atmosphere of Barbados and Antigua.","Silver-works copper precipitation tank, Abingdon, its blue-green residue translated to a rendered coral-stone reservoir building in Barbados: the English verditer reads as the accidental colour of industrial chemistry — not decorative but documentary — the cool teal register held flat against the bleached sky at the building's upper cornice.","DO NOT specify authentic copper carbonate verditer on exterior Caribbean masonry; the marine atmospheres of Barbados and Antigua contain sulfur species sufficient to drive continued copper compound reduction, shifting the blue-green register toward an olive-contaminated grey within eighteen months without a mineral-stable surrogate."
"1029","Abingdon Aqua","#00BFB7","69.9","-41.08","-7.35","41.73","190.1","","","archive","Abingdon Aqua — Market House Copper, #00BFB7, light rich teal paint, teal paint colour, teal paint, verdigris paint, copper green, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Abingdon Aqua — Market House Copper — light rich teal #00BFB7. Market House Copper. Digby Oldridge British colour archive.","20","TRUE","Specify UV-stable acrylic binder with full substrate sealing; at L*=69.9 and C*=41.7 this turquoise is in the viable exterior Caribbean deployment zone, but in full equatorial irradiation the high chroma will create intense simultaneous contrast with bleached coral stone that must be managed compositionally rather than treated as incidental to the specification.","Industrial copper precipitation channel, Abingdon factory, translated to a painted cistern interior wall in Antigua: the aqua reads as the colour of shallow Caribbean water seen through a narrow opening — saturated, optically active, the blue-green register advancing aggressively against any warm stone adjacency under zenith irradiation.","DO NOT apply to large unbroken elevations on sun-facing Caribbean masonry without compositional shadow relief; at C*=41.7 in simultaneous contrast with bleached coral stone the turquoise register reads as optically aggressive, and without tonal breaks or shadow-relief elements the effect becomes visually unstable at proximity."
"1034","Coleshill Bottle","#1A3828","20.8","-15.77","6.6","17.09","157.3","","","archive","Coleshill Bottle — Ice House Green, #1A3828, very dark soft green paint, green paint colour, heritage green paint, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Coleshill Bottle — Ice House Green — very dark soft green #1A3828. Ice House Green. Digby Oldridge British colour archive.","21","TRUE","Specify elastomeric binder and reserve for shaded north-facing or interior surfaces; at L*=20.8 on sun-facing Antiguan masonry this bottle-dark green will exceed ambient surface temperatures by 17–20°C, conditions that are incompatible with standard binder systems on coral stone and that have no historical precedent in Caribbean heritage deployment.","Coleshill estate walled garden, rendered as a coral-stone plantation boundary wall in St. Andrew Parish: the bottle green reads as a near-void in shadow — the hue's botanical identity compressed almost to black — only separating from the void register where raking late-afternoon light grazes the rough render face.","DO NOT apply Coleshill Bottle to sun-facing exterior masonry in the Caribbean without specialist elastomeric binder; at L*=20.8 the solar collection efficiency is incompatible with standard alkyd or emulsion systems on coral stone, and binder failure within twelve months will allow salt-air brine to infiltrate the substrate."
"1011","Wittenham Viridian","#1A7860","44.9","-32.65","5.64","33.13","170.2","Viridian (chromium oxide dihydrate) — post-1838 synthetic pigment. Wittenham Clumps viewpoint pigment — the exact colour of the Thames Valley seen from height on a clear September morning.","Cr2O3·2H2O. First synthesised 1838, Pannetier, Paris. The first truly permanent, lightfast mid-green. Named from the view from Wittenham Clumps — the definitive Oxfordshire vantage point.","NEW_EXTRACTION","Wittenham Viridian — Archive Trace, #1A7860, deep warm green paint, green paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Wittenham Viridian — Archive Trace — deep warm green #1A7860. Cr2O3·2H2O. First synthesised 1838, Pannetier, Paris. The first truly . Digby Oldridge.","22","TRUE","Specify a UV-stable phthalo green or chromium oxide surrogate for any hydrated chromium oxide viridian component; at L*=44.9 and C*=33.1 this hue is viable for exterior Caribbean deployment, but any organic green tint in the formulation will bleach toward a cooler, less saturated register under sustained tropical irradiation.","Wittenham Clumps seen in shadow, the chalk-hill viridian compressed to a coral-stone estate boundary wall in Antigua: the blue-dark green reads as algae-stained stone in perpetual shade — dense, non-decorative, the geological green of deep water seen through translucent vegetation at low tide.","DO NOT deploy Wittenham Viridian on south-facing exterior masonry in the Caribbean without confirming the full formulation uses inorganic mineral pigments; any organic green tint component will bleach toward a cooler grey-green under sustained equatorial UV irradiation within twelve to eighteen months."
"1006","Radcot Verdigris","#2E8C6A","52.3","-35.92","10.26","37.35","164.1","Verdigris — copper acetate formed on bronze fittings at Radcot Bridge (earliest Thames bridge, C12th). Scraped and traded as pigment. Roman through medieval standard.","Basic copper acetate Cu(CH3COO)2·Cu(OH)2. The original green — used continuously from Roman to Georgian periods. Radcot Bridge copper fittings provided the extraction context.","NEW_EXTRACTION","Radcot Verdigris — Archive Trace, #2E8C6A, mid rich green paint, green paint colour, Digby Oldridge, British heritage paint, Oxfordshire colour, Oxfordshire heritage colour, luxury paint colour, Britain in colour","Radcot Verdigris — Archive Trace — mid rich green #2E8C6A. Basic copper acetate Cu(CH3COO)2·Cu(OH)2. The original green — used co. Digby Oldridge.","23","TRUE","At L*=52.3 and C*=37.4 Radcot Verdigris sits in the viable exterior Caribbean deployment zone, but in direct equatorial irradiation the green axis at h°=164 will be partially suppressed by chromatic adaptation to UV-enhanced daylight, making shaded or north-facing contexts the optimal deployment position for the full verdigris register to read.","Canal lock gate of the upper Thames at Radcot, its ironwork patinated to a compressed blue-green, re-read as a rendered coral-stone boathouse wall in Falmouth Harbour: the verdigris reads as the colour of copper completing its oxidation cycle — not decorative green but chemical record — the patina register held at mid-depth between teal and sage.","DO NOT use historically-authentic copper acetate verdigris formulation on Caribbean coastal exteriors; marine sulfur species drive copper sulfide formation within twelve to eighteen months, shifting the register from oxidised-copper green toward a black-particulate contaminated olive-brown that no maintenance cycle can recover."
